playerId,playerName,club,teamName,selectionId,selectionTeam,category,status,sourceId
hk-nl-m-schaerweijde-peppe-veen,Peppe Veen,Schaerweijde,Schaerweijde H1,jong_oranje_heren_training_2026,Jong Oranje Heren,u21_training_group,active_training_group_2026,hockeynl_u21_training_groups_2026
hk-nl-m-den-bosch-joppe-wolbert,Joppe Wolbert,Den Bosch,Den Bosch H1,jong_oranje_heren_training_2026,Jong Oranje Heren,u21_training_group,active_training_group_2026,hockeynl_u21_training_groups_2026
hk-nl-m-oranje-rood-nieki-verbeek,Nieki Verbeek,Oranje-Rood,Oranje-Rood H1,jong_oranje_heren_wk21_2025,Jong Oranje Heren WK-21 2025,u21_tournament_selection,historical_tournament_selection,hockeynl_jong_oranje_heren_wk21_2025
hk-nl-m-amsterdam-olivier-paalman,Olivier Paalman,Amsterdam,Amsterdam H1,jong_oranje_heren_wk21_2025,Jong Oranje Heren WK-21 2025,u21_tournament_selection,historical_tournament_selection,hockeynl_jong_oranje_heren_wk21_2025
hk-nl-m-kampong-kjell-plantenga,Kjell Plantenga,Kampong,Kampong H1,jong_oranje_heren_wk21_2025,Jong Oranje Heren WK-21 2025,u21_tournament_selection,historical_tournament_selection,hockeynl_jong_oranje_heren_wk21_2025
hk-nl-m-pinoke-tim-knapper,Tim Knapper,Pinoké,Pinoké H1,jong_oranje_heren_wk21_2025,Jong Oranje Heren WK-21 2025,u21_tournament_selection,historical_tournament_selection,hockeynl_jong_oranje_heren_wk21_2025
hk-nl-m-bloemendaal-gijs-ter-braak,Gijs ter Braak,Bloemendaal,Bloemendaal H1,jong_oranje_heren_wk21_2025,Jong Oranje Heren WK-21 2025,u21_tournament_selection,historical_tournament_selection,hockeynl_jong_oranje_heren_wk21_2025
hk-nl-m-den-bosch-joppe-wolbert,Joppe Wolbert,Den Bosch,Den Bosch H1,jong_oranje_heren_wk21_2025,Jong Oranje Heren WK-21 2025,u21_tournament_selection,historical_tournament_selection,hockeynl_jong_oranje_heren_wk21_2025
hk-nl-m-bloemendaal-teun-hogenhout,Teun Hogenhout,Bloemendaal,Bloemendaal H1,jong_oranje_heren_wk21_2025,Jong Oranje Heren WK-21 2025,u21_tournament_selection,historical_tournament_selection,hockeynl_jong_oranje_heren_wk21_2025
hk-nl-m-kampong-jens-de-vuijst,Jens de Vuijst,Kampong,Kampong H1,jong_oranje_heren_wk21_2025,Jong Oranje Heren WK-21 2025,u21_tournament_selection,historical_tournament_selection,hockeynl_jong_oranje_heren_wk21_2025
hk-nl-m-amsterdam-tjeerd-boermans,Tjeerd Boermans,Amsterdam,Amsterdam H1,jong_oranje_heren_wk21_2025,Jong Oranje Heren WK-21 2025,u21_tournament_selection,historical_tournament_selection,hockeynl_jong_oranje_heren_wk21_2025
hk-nl-m-kampong-thies-bakker,Thies Bakker,Kampong,Kampong H1,jong_oranje_heren_wk21_2025,Jong Oranje Heren WK-21 2025,u21_tournament_selection,historical_tournament_selection,hockeynl_jong_oranje_heren_wk21_2025
hk-nl-m-schaerweijde-peppe-veen,Peppe Veen,Schaerweijde,Schaerweijde H1,jong_oranje_heren_wk21_2025,Jong Oranje Heren WK-21 2025,u21_tournament_selection,historical_tournament_selection,hockeynl_jong_oranje_heren_wk21_2025
hk-nl-m-hdm-merijn-maas,Merijn Maas,HDM,HDM H1,jong_oranje_heren_wk21_2025,Jong Oranje Heren WK-21 2025,u21_tournament_selection,historical_tournament_selection,hockeynl_jong_oranje_heren_wk21_2025
hk-nl-m-bloemendaal-jan-van-t-land,Jan van 't Land,Bloemendaal,Bloemendaal H1,jong_oranje_heren_wk21_2025,Jong Oranje Heren WK-21 2025,u21_tournament_selection,historical_tournament_selection,hockeynl_jong_oranje_heren_wk21_2025
hk-nl-m-bloemendaal-casper-van-der-veen,Casper van der Veen,Bloemendaal,Bloemendaal H1,jong_oranje_heren_wk21_2025,Jong Oranje Heren WK-21 2025,u21_tournament_selection,historical_tournament_selection,hockeynl_jong_oranje_heren_wk21_2025
